,Price,Area,Ward,District
216,2500000,25,Unknown W,Hải Châu
217,1200000,20,Unknown W,Ngũ Hành Sơn
218,1400000,25,Unknown W,Thanh Khê
219,1000000,18,Unknown W,Hải Châu
220,2500000,25,Unknown W,Thanh Khê
221,1700000,17,Unknown W,Thanh Khê
222,3000000,50,Unknown W,Cẩm Lệ
223,1500000,18,Unknown W,Thanh Khê
224,1700000,20,Unknown W,Hải Châu
225,1400000,20,Unknown W,Thanh Khê
226,1900000,16,Unknown W,Ngũ Hành Sơn
227,1300000,20,Unknown W,Hải Châu
228,2000000,30,Unknown W,Hải Châu
229,2300000,25,Unknown W,Hải Châu
230,1500000,20,Unknown W,Hải Châu
231,1500000,20,Unknown W,Ngũ Hành Sơn
232,1200000,18,Unknown W,Liên Chiểu
233,2800000,25,Unknown W,Cẩm Lệ
234,2000000,20,Unknown W,Sơn Trà
235,2500000,25,Vĩnh Trung,Thanh Khê
236,2200000,22,Unknown W,Ngũ Hành Sơn
237,2000000,20,Mỹ An,Ngũ Hành Sơn
238,2000000,20,Unknown W,Sơn Trà
239,1500000,20,Unknown W,Liên Chiểu
240,1100000,18,Unknown W,Liên Chiểu
241,1000000,20,Unknown W,Sơn Trà
242,1600000,25,Unknown W,Hải Châu
243,3000000,30,Unknown W,Hải Châu
244,1500000,20,Hòa An,Cẩm Lệ
245,2300000,23,Unknown W,Hải Châu
246,1800000,15,Hòa Cường Bắc,Hải Châu
247,1600000,20,Unknown W,Ngũ Hành Sơn
248,1300000,20,Unknown W,Ngũ Hành Sơn
249,1500000,19,Unknown W,Ngũ Hành Sơn
250,1500000,15,Unknown W,Ngũ Hành Sơn
251,2500000,20,Unknown W,Ngũ Hành Sơn
252,1000000,18,Unknown W,Sơn Trà
253,6000000,17,Unknown W,Hòa Vang
254,700000,19,Hòa Khánh Bắc,Liên Chiểu
255,2000000,20,Unknown W,Thanh Khê
256,1800000,20,Unknown W,Cẩm Lệ
257,2000000,20,Unknown W,Thanh Khê
258,2000000,20,Unknown W,Sơn Trà
259,1200000,17,Unknown W,Liên Chiểu
260,1800000,20,Hòa Minh,Liên Chiểu
261,2000000,20,Unknown W,Thanh Khê
262,3000000,27,Unknown W,Sơn Trà
263,2000000,15,Unknown W,Thanh Khê
264,2000000,20,Unknown W,Liên Chiểu
265,2600000,20,Unknown W,Hải Châu
266,2000000,20,Unknown W,Sơn Trà
267,2000000,20,Unknown W,Thanh Khê
268,1000000,20,Hòa Hiệp Nam,Liên Chiểu
269,1200000,16,Unknown W,Hải Châu
270,1500000,40,Unknown W,Ngũ Hành Sơn
271,2100000,21,Unknown W,Hải Châu
272,2000000,25,Unknown W,Liên Chiểu
273,1500000,20,Unknown W,Hòa Vang
274,3000000,26,Unknown W,Hải Châu
275,1600000,16,Thuận Phước,Hải Châu
276,3200000,28,Thuận Phước,Hải Châu
277,1000000,18,Hòa Thọ Tây,Cẩm Lệ
278,2200000,22,Unknown W,Thanh Khê
279,3000000,28,Unknown W,Sơn Trà
280,1500000,25,Unknown W,Cẩm Lệ
281,2000000,22,Unknown W,Hải Châu
282,1600000,20,Hòa Xuân,Cẩm Lệ
283,3300000,25,Unknown W,Thanh Khê
284,1600000,10,Unknown W,Hải Châu
285,1600000,20,Unknown W,Hải Châu
286,1700000,17,Unknown W,Cẩm Lệ
287,1500000,22,Unknown W,Ngũ Hành Sơn
288,1500000,15,Unknown W,Hải Châu
289,1300000,30,Unknown W,Hải Châu
290,2000000,25,Unknown W,Hải Châu
291,2200000,22,Unknown W,Cẩm Lệ
292,3500000,26,Unknown W,Ngũ Hành Sơn
293,1300000,18,Unknown W,Liên Chiểu
294,3000000,25,Nại Hiên Đông,Sơn Trà
295,1700000,25,Hòa Hải,Ngũ Hành Sơn
296,1800000,25,Hòa Minh,Liên Chiểu
297,1400000,25,Unknown W,Liên Chiểu
298,1300000,25,Unknown W,Hải Châu
299,2000000,25,Unknown W,Hải Châu
300,2300000,25,Unknown W,Ngũ Hành Sơn
301,1700000,28,Unknown W,Hải Châu
302,3000000,35,Unknown W,Hải Châu
303,2300000,23,Thanh Khê Đông,Thanh Khê
304,3000000,25,Phước Mỹ,Sơn Trà
305,1600000,15,Mỹ An,Ngũ Hành Sơn
306,3200000,30,Thanh Khê Đông,Thanh Khê
307,700000,16,Hòa Thọ Tây,Cẩm Lệ
308,1200000,22,Hòa Khánh Bắc,Liên Chiểu
309,1400000,14,Hòa Khê,Thanh Khê
310,1700000,30,Unknown W,Ngũ Hành Sơn
311,2200000,25,Thạc Gián,Thanh Khê
312,900000,20,Hòa Khánh Bắc,Liên Chiểu
313,900000,4,Hòa Cường Bắc,Hải Châu
314,1700000,18,Unknown W,Ngũ Hành Sơn
315,900000,3,Hòa Thuận Tây,Hải Châu
316,1200000,15,Khuê Mỹ,Ngũ Hành Sơn
317,850000,32,Khuê Trung,Cẩm Lệ
318,2500000,25,Unknown W,Ngũ Hành Sơn
319,1200000,25,Hòa An,Cẩm Lệ
320,1500000,15,Unknown W,Ngũ Hành Sơn
321,3000000,25,Mân Thái,Sơn Trà
322,3100000,35,Chính Gián,Thanh Khê
323,1200000,18,Hòa Khánh Bắc,Liên Chiểu
324,2600000,25,An Hải Bắc,Sơn Trà
325,2500000,25,Hòa Minh,Liên Chiểu
326,2500000,25,Hòa Minh,Liên Chiểu
327,3000000,35,Hòa Cường Bắc,Hải Châu
328,2000000,50,Unknown W,Ngũ Hành Sơn
329,3000000,20,Khuê Trung,Cẩm Lệ
330,1200000,25,Hòa Khánh Bắc,Liên Chiểu
331,2500000,25,Hòa Cường Nam,Hải Châu
332,1000000,15,Hòa Khánh Bắc,Liên Chiểu
333,1600000,20,An Hải Bắc,Sơn Trà
334,1600000,15,Thọ Quang,Sơn Trà
335,2500000,40,Mân Thái,Sơn Trà
336,1800000,20,Khuê Trung,Cẩm Lệ
337,2500000,20,Hòa An,Cẩm Lệ
338,2900000,25,Hòa Xuân,Cẩm Lệ
339,4500000,45,An Hải Tây,Sơn Trà
340,1700000,15,Hòa Minh,Liên Chiểu
341,3000000,35,Unknown W,Ngũ Hành Sơn
342,3000000,30,Bình Hiên,Hải Châu
343,3000000,50,Hòa Khánh Bắc,Liên Chiểu
344,2500000,30,Thanh Khê Tây,Thanh Khê
345,1500000,20,Hòa Khánh Bắc,Liên Chiểu
346,3500000,75,Xuân Hà,Thanh Khê
347,1700000,20,Thanh Bình,Hải Châu
348,1100000,12,Bình Thuận,Hải Châu
349,2300000,28,Hòa Xuân,Cẩm Lệ
350,1300000,12,Khuê Mỹ,Ngũ Hành Sơn
351,1800000,25,Hòa Minh,Liên Chiểu
352,2000000,30,Unknown W,Ngũ Hành Sơn
353,3500000,30,Hòa Thuận Tây,Hải Châu
354,1700000,12,An Hải Đông,Sơn Trà
355,2900000,37,Mân Thái,Sơn Trà
356,2500000,35,Khuê Trung,Cẩm Lệ
357,2500000,20,An Khê,Thanh Khê
358,1500000,15,Hòa Khánh Bắc,Liên Chiểu
359,1500000,20,Hòa Xuân,Cẩm Lệ
360,12000000,75,Tân Chính,Thanh Khê
361,3000000,30,Hòa Khánh Nam,Liên Chiểu
362,1800000,16,Thuận Phước,Hải Châu
363,4500000,47,Hải Châu I,Hải Châu
364,1800000,20,Hòa Minh,Liên Chiểu
365,600000,12,Hòa Thọ Tây,Cẩm Lệ
366,2000000,50,An Khê,Thanh Khê
367,2000000,25,Nại Hiên Đông,Sơn Trà
368,1400000,25,Hòa Khánh Nam,Liên Chiểu
369,2800000,30,Khuê Trung,Cẩm Lệ
370,1000000,15,Hòa Xuân,Cẩm Lệ
371,800000,12,Hòa Khánh Bắc,Liên Chiểu
372,2300000,20,Mỹ An,Ngũ Hành Sơn
373,1200000,15,Unknown W,Ngũ Hành Sơn
374,1800000,25,Thanh Khê Đông,Thanh Khê
375,2500000,25,Thuận Phước,Hải Châu
376,2000000,20,Hòa Cường Nam,Hải Châu
377,1800000,22,Hòa Minh,Liên Chiểu
378,1600000,30,Hòa Phát,Cẩm Lệ
379,3400000,55,Thọ Quang,Sơn Trà
380,3000000,20,An Khê,Thanh Khê
381,4000000,40,Hòa Khánh Nam,Liên Chiểu
382,1800000,25,Thanh Khê Đông,Thanh Khê
383,1300000,20,Hòa Khánh Nam,Liên Chiểu
384,3000000,80,Hòa Cường Bắc,Hải Châu
385,2000000,40,Unknown W,Ngũ Hành Sơn
386,2500000,35,Khuê Trung,Cẩm Lệ
387,2000000,15,Hòa Khê,Thanh Khê
388,2200000,30,Hòa Khê,Thanh Khê
389,2500000,45,Hòa Minh,Liên Chiểu
390,1000000,20,Hòa Khánh Bắc,Liên Chiểu
391,1500000,35,Unknown W,Ngũ Hành Sơn
392,2800000,20,Xuân Hà,Thanh Khê
393,1400000,12,Hòa Xuân,Cẩm Lệ
394,2500000,25,Mân Thái,Sơn Trà
395,2500000,22,An Khê,Thanh Khê
396,1800000,20,Phước Mỹ,Sơn Trà
397,1300000,20,Hòa Khánh Nam,Liên Chiểu
398,2000000,25,Hòa Cường Nam,Hải Châu
399,3000000,30,Khuê Mỹ,Ngũ Hành Sơn
400,3000000,40,An Hải Tây,Sơn Trà
401,2500000,25,Hải Châu I,Hải Châu
402,2000000,25,Khuê Trung,Cẩm Lệ
403,3000000,20,Thuận Phước,Hải Châu
404,2800000,25,Hòa Cường Bắc,Hải Châu
405,1300000,16,Hòa Minh,Liên Chiểu
406,10000000,52,Mỹ An,Ngũ Hành Sơn
407,4000000,30,Hòa Thuận Tây,Hải Châu
408,1200000,14,Thanh Khê Tây,Thanh Khê
409,800000,14,Hòa Khánh Bắc,Liên Chiểu
410,2000000,20,Hòa Minh,Liên Chiểu
411,1800000,20,Hòa Xuân,Cẩm Lệ
412,1600000,25,Hòa An,Cẩm Lệ
413,2500000,28,Hòa Xuân,Cẩm Lệ
414,1300000,25,Hòa Thọ Tây,Cẩm Lệ
415,2600000,20,Hòa Thuận Tây,Hải Châu
416,3000000,35,Hòa Minh,Liên Chiểu
417,1000000,15,Hòa Thọ Đông,Cẩm Lệ
418,12000000,75,Thạc Gián,Thanh Khê
419,1800000,22,Mỹ An,Ngũ Hành Sơn
420,2500000,30,Khuê Mỹ,Ngũ Hành Sơn
421,2500000,30,Khuê Mỹ,Ngũ Hành Sơn
422,1800000,15,Thọ Quang,Sơn Trà
423,2000000,40,Hòa Thọ Đông,Cẩm Lệ
424,2500000,30,Hòa Xuân,Cẩm Lệ
425,3300000,30,Xuân Hà,Thanh Khê
426,2300000,35,Unknown W,Ngũ Hành Sơn
427,800000,4,Hòa Cường Bắc,Hải Châu
428,900000,5,Hòa Cường Bắc,Hải Châu
429,500000,15,Hòa Khánh Bắc,Liên Chiểu
430,2200000,20,Nại Hiên Đông,Sơn Trà
431,2500000,28,Hòa Xuân,Cẩm Lệ
432,4000000,200,Khuê Mỹ,Ngũ Hành Sơn
433,3000000,45,Hòa Xuân,Cẩm Lệ
434,2700000,30,Xuân Hà,Thanh Khê
435,2000000,20,Khuê Trung,Cẩm Lệ
436,2000000,20,Hòa Minh,Liên Chiểu
437,1800000,20,Khuê Trung,Cẩm Lệ
438,1600000,22,Thọ Quang,Sơn Trà
439,1200000,15,An Hải Đông,Sơn Trà
440,1500000,20,Hòa Minh,Liên Chiểu
441,2200000,16,Hòa Thuận Tây,Hải Châu
442,1000000,25,Hòa Khánh Bắc,Liên Chiểu
443,1300000,20,Khuê Mỹ,Ngũ Hành Sơn
444,3000000,50,Hòa An,Cẩm Lệ
445,850000,16,Unknown W,Ngũ Hành Sơn
446,1800000,20,Mỹ An,Ngũ Hành Sơn
447,2000000,20,Unknown W,Ngũ Hành Sơn
448,1400000,12,Khuê Trung,Cẩm Lệ
449,1750000,25,Mân Thái,Sơn Trà
450,4500000,40,Xuân Hà,Thanh Khê
451,1500000,16,Hòa An,Cẩm Lệ
452,3500000,30,Thanh Bình,Hải Châu
453,1500000,20,Thuận Phước,Hải Châu
454,1500000,25,Hòa Minh,Liên Chiểu
455,1500000,21,Thanh Khê Tây,Thanh Khê
456,3000000,20,An Hải Bắc,Sơn Trà
457,1500000,25,Hòa Minh,Liên Chiểu
458,1600000,25,Thọ Quang,Sơn Trà
459,1500000,20,Hòa Minh,Liên Chiểu
460,2000000,25,Hòa Xuân,Cẩm Lệ
461,1500000,20,Hòa Thọ Tây,Cẩm Lệ
462,1600000,25,Hòa An,Cẩm Lệ
463,1000000,50,An Hải Đông,Sơn Trà
464,1500000,18,Thạc Gián,Thanh Khê
465,1900000,18,Thọ Quang,Sơn Trà
466,3700000,60,Hòa Thuận Đông,Hải Châu
467,3000000,20,Xuân Hà,Thanh Khê
468,700000,23,Hòa An,Cẩm Lệ
469,2000000,50,Hòa Hiệp Nam,Liên Chiểu
470,2000000,25,Bình Hiên,Hải Châu
471,2400000,16,Khuê Mỹ,Ngũ Hành Sơn
472,1500000,20,Tân Chính,Thanh Khê
473,1850000,22,Thanh Bình,Hải Châu
474,1300000,25,Khuê Trung,Cẩm Lệ
475,4000000,50,Khuê Mỹ,Ngũ Hành Sơn
476,2800000,20,Chính Gián,Thanh Khê
477,1500000,20,Hải Châu I,Hải Châu
478,1560000,20,Hòa An,Cẩm Lệ
479,2000000,60,Hòa An,Cẩm Lệ
480,1700000,20,Hòa Xuân,Cẩm Lệ
481,1500000,18,Hòa Minh,Liên Chiểu
482,1600000,20,An Khê,Thanh Khê
483,2100000,22,An Hải Bắc,Sơn Trà
484,1600000,10,Phước Ninh,Hải Châu
485,2500000,23,Hòa Cường Nam,Hải Châu
486,2500000,12,Xuân Hà,Thanh Khê
487,2000000,30,An Khê,Thanh Khê
488,1200000,23,Hòa Khánh Bắc,Liên Chiểu
489,2800000,25,Hòa Khê,Thanh Khê
490,1600000,30,Mỹ An,Ngũ Hành Sơn
491,3500000,30,Nam Dương,Hải Châu
492,3000000,30,Hòa Khê,Thanh Khê
493,1500000,20,Hòa Khánh Nam,Liên Chiểu
494,2500000,25,Hòa Cường Nam,Hải Châu
495,1800000,50,Hòa Khánh Nam,Liên Chiểu
496,2500000,30,Thanh Khê Tây,Thanh Khê
497,900000,16,Unknown W,Ngũ Hành Sơn
498,2500000,25,Hòa Thọ Đông,Cẩm Lệ
499,2600000,10,Mỹ An,Ngũ Hành Sơn
500,1500000,14,Xuân Hà,Thanh Khê
501,900000,16,Thạc Gián,Thanh Khê
502,4000000,52,Unknown W,Ngũ Hành Sơn
503,800000,16,Thanh Khê Đông,Thanh Khê
504,1500000,22,Hòa Khánh Nam,Liên Chiểu
505,2200000,20,Hòa Minh,Liên Chiểu
506,900000,20,Hòa Xuân,Cẩm Lệ
507,1600000,30,Hòa Khánh Nam,Liên Chiểu
508,1350000,16,Vĩnh Trung,Thanh Khê
509,4000000,28,Hòa Minh,Liên Chiểu
510,2000000,32,Hòa Thọ Tây,Cẩm Lệ
511,1500000,20,Hòa Cường Nam,Hải Châu
512,2500000,22,Hòa Thuận Tây,Hải Châu
513,2200000,20,Thanh Khê Tây,Thanh Khê
514,600000,20,Hòa Thọ Tây,Cẩm Lệ
515,1200000,20,Hòa Khánh Bắc,Liên Chiểu
516,1800000,30,Hòa Khánh Bắc,Liên Chiểu
517,3000000,80,Hòa Thọ Tây,Cẩm Lệ
518,1400000,20,Hòa An,Cẩm Lệ
519,2000000,25,Chính Gián,Thanh Khê
520,1200000,30,Hòa Khánh Bắc,Liên Chiểu
521,1500000,25,An Khê,Thanh Khê
522,1300000,18,Hòa Khánh Nam,Liên Chiểu
523,4500000,20,Xuân Hà,Thanh Khê
524,1300000,16,Mỹ An,Ngũ Hành Sơn
525,2000000,26,Hòa Phát,Cẩm Lệ
526,1200000,18,Hòa Hiệp Nam,Liên Chiểu
527,2000000,24,Hòa Thuận Tây,Hải Châu
528,1500000,30,Thanh Khê Tây,Thanh Khê
529,2000000,15,Khuê Mỹ,Ngũ Hành Sơn
530,2000000,20,Hòa Khánh Nam,Liên Chiểu
531,1500000,20,Thọ Quang,Sơn Trà
532,3300000,30,Thạc Gián,Thanh Khê
533,1000000,30,Mỹ An,Ngũ Hành Sơn
534,3500000,30,Khuê Trung,Cẩm Lệ
535,600000,25,Hòa Thuận Tây,Hải Châu
536,1800000,25,Phước Mỹ,Sơn Trà
537,2000000,30,Hòa Minh,Liên Chiểu
538,1800000,18,Thọ Quang,Sơn Trà
539,2000000,20,Hòa Khánh Bắc,Liên Chiểu
540,500000,16,Hòa Hiệp Bắc,Liên Chiểu
541,3000000,35,Hòa Khê,Thanh Khê
542,2000000,30,Hòa Hiệp Nam,Liên Chiểu
543,2700000,30,Hòa Xuân,Cẩm Lệ
544,3200000,25,Hòa An,Cẩm Lệ
545,1100000,30,Thuận Phước,Hải Châu
546,4000000,25,Phước Mỹ,Sơn Trà
547,1000000,15,Hòa Thọ Tây,Cẩm Lệ
548,1900000,20,Hòa Khê,Thanh Khê
549,2500000,22,Khuê Mỹ,Ngũ Hành Sơn
550,1200000,40,Hòa Cường Nam,Hải Châu
551,1500000,15,Hòa Khánh Bắc,Liên Chiểu
552,550000,20,Hòa Hiệp Bắc,Liên Chiểu
553,2800000,25,Chính Gián,Thanh Khê
554,1500000,16,Unknown W,Ngũ Hành Sơn
555,1800000,18,Thanh Bình,Hải Châu
556,2000000,32,Hòa Khánh Nam,Liên Chiểu
557,1500000,13,Khuê Mỹ,Ngũ Hành Sơn
